name,price,brand,sku,Subcategoria
Ashwagandha 600 mg,12.99,Naturitas Essentials,LP-0149324,Fitoterapia
Ashwagandha 600 mg,23.95,Naturitas Essentials,LP-0149323,Fitoterapia
Maca en polvo Bio,5.85,Naturitas Essentials,LP-0152785,Fitoterapia
Aloe vera,16.95,Naturitas Essentials,LP-0167889,Fitoterapia
Ashwagandha en polvo Bio,6.85,Naturitas Essentials,LP-0159054,Fitoterapia
Aceite de orégano,8.99,Naturitas Essentials,LP-0149062,Fitoterapia
Aceite de orégano,14.99,Naturitas Essentials,LP-0149063,Fitoterapia
Cúrcuma con pimienta negra,13.5,Naturitas Essentials,LP-0118917,Fitoterapia
Berberina 1000 mg,37.95,Naturitas Essentials,LP-0155378,Fitoterapia
"Stress - Ashwagandha, Rodiola, GABA y Hongos Medicinales",19.95,Naturitas Essentials,LP-0214649,Fitoterapia
"Ajo, espino blanco, olivo",10.49,Naturitas Essentials,LP-0155365,Fitoterapia
Berberina 1000 mg,23.95,Naturitas Essentials,LP-0155377,Fitoterapia
Pack Cúrcuma con pimienta negra,30.3,Naturitas Essentials,LP-0206937,Fitoterapia
Cardo mariano,23.95,Naturitas Essentials,LP-0118918,Fitoterapia
Cistitus Nox Forte,30.75,Cistitus,LP-0202787,Fitoterapia
Maca Andina,16.45,Naturitas Essentials,LP-0118919,Fitoterapia
Equinácea - defensas,13.45,Naturitas Essentials,LP-0119562,Fitoterapia
Ginkgo Biloba,10.65,Naturitas Essentials,LP-0170337,Fitoterapia
Aceite esencial de lavanda Bio,14.35,Zentrity by Naturitas,LP-0155410,Fitoterapia
Cúrcuma y pimienta,18.95,El Granero Integral,LP-0014320,Fitoterapia
Rodiola,18.49,Naturitas Essentials,LP-0166971,Fitoterapia
Cranberry - Arándano rojo,16.95,Naturitas Essentials,LP-0119560,Fitoterapia
Hierba Manzanilla Dulce Flor,1.48,Plameca,LP-0024943,Fitoterapia
Harpagofito,3.08,Sotya,LP-0019433,Fitoterapia
Cardo mariano planta,1.23,Plameca,LP-0007860,Fitoterapia
Cáscara Sagrada,3.1,Sotya,LP-0008068,Fitoterapia
Frutas & Fibras Forte Tránsito Intestinal,11.52,Ortis,LP-0052824,Fitoterapia
Pasiflora,2.87,Sotya,LP-0036227,Fitoterapia
Semilla de Uva Forte (con Ext. de Arándano Rojo),27.81,Sura Vitasan,LP-0037396,Fitoterapia
Ashwagandha,22.45,Solgar,LP-0037473,Fitoterapia
Hierba de Anís Verde,1.67,Plameca,LP-0038607,Fitoterapia
Hierba Hibiscus Flor Triturada,2.09,Plameca,LP-0038690,Fitoterapia
Aceite Esencial Árbol de Té,5.95,Pranarom,LP-0039706,Fitoterapia
Aceite Esencial de lavanda,8.4,Pranarom,LP-0039708,Fitoterapia
Espino Amarillo,14.07,Ortocel Nutri Therapy,LP-0040142,Fitoterapia
Extracto Epilobio (Epilobium P.) Bio,10,Physalis,LP-0040162,Fitoterapia
Hierba Orégano Hoja,1.02,Plameca,LP-0029048,Fitoterapia
OlioVita,30.38,Vitae,LP-0029291,Fitoterapia
Inavirin,23.7,Naturemost,LP-0030861,Fitoterapia
Ergyepur detox hepático,17.87,Nutergia,LP-0010583,Fitoterapia
"Quinta Esencia Orégano, Tomillo y Ajedrea",19.8,Forza Vitale,LP-0010776,Fitoterapia
